composite,scene_id,product_id,datetime,mgrs_tile,cloud_pct,platform,baseline,orbit,nodata_pct,used
2024_11,S2A_MSIL2A_20241101T111221_R137_T29SPR_20241101T153152,S2A_MSIL2A_20241101T111221_N0511_R137_T29SPR_20241101T153152,2024-11-01 11:12:21,29SPR,1.578,Sentinel-2A,05.11,137,0.0,True
2024_11,S2A_MSIL2A_20241101T111221_R137_T29SPS_20241101T153152,S2A_MSIL2A_20241101T111221_N0511_R137_T29SPS_20241101T153152,2024-11-01 11:12:21,29SPS,1.581,Sentinel-2A,05.11,137,0.0,True
2024_11,S2A_MSIL2A_20241101T111221_R137_T29SQR_20241101T153152,S2A_MSIL2A_20241101T111221_N0511_R137_T29SQR_20241101T153152,2024-11-01 11:12:21,29SQR,0.267,Sentinel-2A,05.11,137,35.07,True
2024_11,S2A_MSIL2A_20241101T111221_R137_T29SQS_20241101T153152,S2A_MSIL2A_20241101T111221_N0511_R137_T29SQS_20241101T153152,2024-11-01 11:12:21,29SQS,0.198,Sentinel-2A,05.11,137,14.32,True
2024_11,S2B_MSIL2A_20241103T110129_R094_T29SQR_20241103T134104,S2B_MSIL2A_20241103T110129_N0511_R094_T29SQR_20241103T134104,2024-11-03 11:01:29,29SQR,39.599,Sentinel-2B,05.11,94,8.12,True
2024_11,S2B_MSIL2A_20241103T110129_R094_T29SQS_20241103T134104,S2B_MSIL2A_20241103T110129_N0511_R094_T29SQS_20241103T134104,2024-11-03 11:01:29,29SQS,22.558,Sentinel-2B,05.11,94,26.29,True
2024_11,S2B_MSIL2A_20241106T111149_R137_T29SPR_20241106T123759,S2B_MSIL2A_20241106T111149_N0511_R137_T29SPR_20241106T123759,2024-11-06 11:11:49,29SPR,0.0,Sentinel-2B,05.11,137,34.66,True
2024_11,S2B_MSIL2A_20241106T111149_R137_T29SPS_20241106T123759,S2B_MSIL2A_20241106T111149_N0511_R137_T29SPS_20241106T123759,2024-11-06 11:11:49,29SPS,0.0,Sentinel-2B,05.11,137,0.0,True
2024_11,S2B_MSIL2A_20241106T111149_R137_T29SQR_20241106T123759,S2B_MSIL2A_20241106T111149_N0511_R137_T29SQR_20241106T123759,2024-11-06 11:11:49,29SQR,0.0,Sentinel-2B,05.11,137,43.31,True
2024_11,S2B_MSIL2A_20241106T111149_R137_T29SQS_20241106T123759,S2B_MSIL2A_20241106T111149_N0511_R137_T29SQS_20241106T123759,2024-11-06 11:11:49,29SQS,0.0,Sentinel-2B,05.11,137,12.91,True
2024_11,S2A_MSIL2A_20241108T110251_R094_T29SQR_20241108T151353,S2A_MSIL2A_20241108T110251_N0511_R094_T29SQR_20241108T151353,2024-11-08 11:02:51,29SQR,37.474,Sentinel-2A,05.11,94,8.43,True
2024_11,S2A_MSIL2A_20241108T110251_R094_T29SQS_20241108T151353,S2A_MSIL2A_20241108T110251_N0511_R094_T29SQS_20241108T151353,2024-11-08 11:02:51,29SQS,91.605,Sentinel-2A,05.11,94,26.57,False
2024_11,S2A_MSIL2A_20241111T111311_R137_T29SPR_20241111T151952,S2A_MSIL2A_20241111T111311_N0511_R137_T29SPR_20241111T151952,2024-11-11 11:13:11,29SPR,0.0,Sentinel-2A,05.11,137,0.0,True
2024_11,S2A_MSIL2A_20241111T111311_R137_T29SPS_20241111T151952,S2A_MSIL2A_20241111T111311_N0511_R137_T29SPS_20241111T151952,2024-11-11 11:13:11,29SPS,0.001,Sentinel-2A,05.11,137,0.0,True
2024_11,S2A_MSIL2A_20241111T111311_R137_T29SQR_20241111T151952,S2A_MSIL2A_20241111T111311_N0511_R137_T29SQR_20241111T151952,2024-11-11 11:13:11,29SQR,0.148,Sentinel-2A,05.11,137,34.25,True
2024_11,S2A_MSIL2A_20241111T111311_R137_T29SQS_20241111T151952,S2A_MSIL2A_20241111T111311_N0511_R137_T29SQS_20241111T151952,2024-11-11 11:13:11,29SQS,0.0,Sentinel-2A,05.11,137,13.55,True
2024_11,S2B_MSIL2A_20241113T110219_R094_T29SQR_20241113T133656,S2B_MSIL2A_20241113T110219_N0511_R094_T29SQR_20241113T133656,2024-11-13 11:02:19,29SQR,11.905,Sentinel-2B,05.11,94,8.46,True
2024_11,S2B_MSIL2A_20241113T110219_R094_T29SQS_20241113T133656,S2B_MSIL2A_20241113T110219_N0511_R094_T29SQS_20241113T133656,2024-11-13 11:02:19,29SQS,13.941,Sentinel-2B,05.11,94,26.64,True
2024_11,S2B_MSIL2A_20241116T111239_R137_T29SPR_20241116T142116,S2B_MSIL2A_20241116T111239_N0511_R137_T29SPR_20241116T142116,2024-11-16 11:12:39,29SPR,2.574,Sentinel-2B,05.11,137,0.0,True
2024_11,S2B_MSIL2A_20241116T111239_R137_T29SPS_20241116T142116,S2B_MSIL2A_20241116T111239_N0511_R137_T29SPS_20241116T142116,2024-11-16 11:12:39,29SPS,0.018,Sentinel-2B,05.11,137,0.0,True
2024_11,S2B_MSIL2A_20241116T111239_R137_T29SQR_20241116T142116,S2B_MSIL2A_20241116T111239_N0511_R137_T29SQR_20241116T142116,2024-11-16 11:12:39,29SQR,20.669,Sentinel-2B,05.11,137,34.34,True
2024_11,S2B_MSIL2A_20241116T111239_R137_T29SQS_20241116T142116,S2B_MSIL2A_20241116T111239_N0511_R137_T29SQS_20241116T142116,2024-11-16 11:12:39,29SQS,3.014,Sentinel-2B,05.11,137,13.6,True
2024_11,S2A_MSIL2A_20241118T110341_R094_T29SQR_20241118T151707,S2A_MSIL2A_20241118T110341_N0511_R094_T29SQR_20241118T151707,2024-11-18 11:03:41,29SQR,42.869,Sentinel-2A,05.11,94,7.76,False
2024_11,S2A_MSIL2A_20241118T110341_R094_T29SQS_20241118T151707,S2A_MSIL2A_20241118T110341_N0511_R094_T29SQS_20241118T151707,2024-11-18 11:03:41,29SQS,29.647,Sentinel-2A,05.11,94,25.93,True
2024_11,S2B_MSIL2A_20241123T110309_R094_T29SQR_20250128T154202,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQR_20250128T154202,2024-11-23 11:03:09,29SQR,0.0,Sentinel-2B,05.11,94,7.35,True
2024_11,S2B_MSIL2A_20241123T110309_R094_T29SQR_20241123T134255,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQR_20241123T134255,2024-11-23 11:03:09,29SQR,0.0,Sentinel-2B,05.11,94,7.35,True
2024_11,S2B_MSIL2A_20241123T110309_R094_T29SQS_20250128T154202,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQS_20250128T154202,2024-11-23 11:03:09,29SQS,0.002,Sentinel-2B,05.11,94,25.41,True
