composite,asset_id,product_id,granule_id,datetime,mgrs_tile,cloud_pct,cloud_land_pct,shadow_pct,nodata_pct,platform,baseline,orbit,sun_zenith,sun_azimuth,boa_offset_B2
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SQS,S2A_MSIL2A_20241101T111221_N0511_R137_T29SQS_20241101T153152,L2A_T29SQS_A048897_20241101T111445,2024-11-01 11:22:07,29SQS,0.198183,0.198186,0.013302,14.323287,Sentinel-2A,5.11,137,48.8632312787932,164.999437784606,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SPS,S2A_MSIL2A_20241101T111221_N0511_R137_T29SPS_20241101T153152,L2A_T29SPS_A048897_20241101T111445,2024-11-01 11:22:11,29SPS,1.58098,1.589951,0.049691,0.0,Sentinel-2A,5.11,137,49.1208446045938,163.685892034854,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SQR,S2A_MSIL2A_20241101T111221_N0511_R137_T29SQR_20241101T153152,L2A_T29SQR_A048897_20241101T111445,2024-11-01 11:22:22,29SQR,0.267058,0.267812,0.272111,35.071343,Sentinel-2A,5.11,137,47.985579171905,164.834221757462,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SPR,S2A_MSIL2A_20241101T111221_N0511_R137_T29SPR_20241101T153152,L2A_T29SPR_A048897_20241101T111445,2024-11-01 11:22:25,29SPR,1.578409,1.590671,0.014373,0.0,Sentinel-2A,5.11,137,48.2450183045494,163.517851355142,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241103T110129_20241103T111010_T29SQS,S2B_MSIL2A_20241103T110129_N0511_R094_T29SQS_20241103T134104,L2A_T29SQS_A040017_20241103T111010,2024-11-03 11:12:09,29SQS,22.558028,22.544746,0.584645,26.287922,Sentinel-2B,5.11,94,50.0621141234687,162.124973709875,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241103T110129_20241103T111010_T29SQR,S2B_MSIL2A_20241103T110129_N0511_R094_T29SQR_20241103T134104,L2A_T29SQR_A040017_20241103T111010,2024-11-03 11:12:24,29SQR,39.59868,39.479226,7.312179,8.115762,Sentinel-2B,5.11,94,49.1959069160566,161.930431739778,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SQS,S2B_MSIL2A_20241106T111149_N0511_R137_T29SQS_20241106T123759,L2A_T29SQS_A040060_20241106T111144,2024-11-06 11:22:02,29SQS,0.000133,0.000133,0.000998,12.906942,Sentinel-2B,5.11,137,50.3694247228162,165.394090222091,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SPS,S2B_MSIL2A_20241106T111149_N0511_R137_T29SPS_20241106T123759,L2A_T29SPS_A040060_20241106T111144,2024-11-06 11:22:05,29SPS,7e-05,6e-05,0.0,0.0,Sentinel-2B,5.11,137,50.6209053087858,164.117312773569,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SQR,S2B_MSIL2A_20241106T111149_N0511_R137_T29SQR_20241106T123759,L2A_T29SQR_A040060_20241106T111144,2024-11-06 11:22:15,29SQR,0.0,0.0,0.017505,43.30841,Sentinel-2B,5.11,137,49.4903486007055,165.243499328068,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SPR,S2B_MSIL2A_20241106T111149_N0511_R137_T29SPR_20241106T123759,L2A_T29SPR_A040060_20241106T111144,2024-11-06 11:22:17,29SPR,8.6e-05,7.7e-05,3e-05,34.65645,Sentinel-2B,5.11,137,49.7434358811028,163.964735000129,-1000.0
