composite,asset_id,product_id,granule_id,sensing_utc,mgrs_tile,cloud_pct,cloud_land_pct,shadow_pct,nodata_pct,platform,baseline,orbit,sun_zenith,sun_azimuth,boa_offset_B2
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SPR,S2A_MSIL2A_20241101T111221_N0511_R137_T29SPR_20241101T153152,L2A_T29SPR_A048897_20241101T111445,2024-11-01 11:22:25,29SPR,1.578409,1.590671,0.014373,0.0,Sentinel-2A,05.11,137.0,48.2450183045494,163.517851355142,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SPS,S2A_MSIL2A_20241101T111221_N0511_R137_T29SPS_20241101T153152,L2A_T29SPS_A048897_20241101T111445,2024-11-01 11:22:11,29SPS,1.58098,1.589951,0.049691,0.0,Sentinel-2A,05.11,137.0,49.1208446045938,163.685892034854,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SQR,S2A_MSIL2A_20241101T111221_N0511_R137_T29SQR_20241101T153152,L2A_T29SQR_A048897_20241101T111445,2024-11-01 11:22:22,29SQR,0.267058,0.267812,0.272111,35.071343,Sentinel-2A,05.11,137.0,47.985579171905,164.834221757462,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241101T111221_20241101T111445_T29SQS,S2A_MSIL2A_20241101T111221_N0511_R137_T29SQS_20241101T153152,L2A_T29SQS_A048897_20241101T111445,2024-11-01 11:22:07,29SQS,0.198183,0.198186,0.013302,14.323287,Sentinel-2A,05.11,137.0,48.8632312787932,164.999437784606,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241103T110129_20241103T111010_T29SQR,S2B_MSIL2A_20241103T110129_N0511_R094_T29SQR_20241103T134104,L2A_T29SQR_A040017_20241103T111010,2024-11-03 11:12:24,29SQR,39.59868,39.479226,7.312179,8.115762,Sentinel-2B,05.11,94.0,49.1959069160566,161.930431739778,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241103T110129_20241103T111010_T29SQS,S2B_MSIL2A_20241103T110129_N0511_R094_T29SQS_20241103T134104,L2A_T29SQS_A040017_20241103T111010,2024-11-03 11:12:09,29SQS,22.558028,22.544746,0.584645,26.287922,Sentinel-2B,05.11,94.0,50.0621141234687,162.124973709875,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SPR,S2B_MSIL2A_20241106T111149_N0511_R137_T29SPR_20241106T123759,L2A_T29SPR_A040060_20241106T111144,2024-11-06 11:22:17,29SPR,8.6E-5,7.7E-5,3.0E-5,34.65645,Sentinel-2B,05.11,137.0,49.7434358811028,163.964735000129,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SPS,S2B_MSIL2A_20241106T111149_N0511_R137_T29SPS_20241106T123759,L2A_T29SPS_A040060_20241106T111144,2024-11-06 11:22:05,29SPS,7.0E-5,6.0E-5,0.0,0.0,Sentinel-2B,05.11,137.0,50.6209053087858,164.117312773569,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SQR,S2B_MSIL2A_20241106T111149_N0511_R137_T29SQR_20241106T123759,L2A_T29SQR_A040060_20241106T111144,2024-11-06 11:22:15,29SQR,0.0,0.0,0.017505,43.30841,Sentinel-2B,05.11,137.0,49.4903486007055,165.243499328068,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241106T111149_20241106T111144_T29SQS,S2B_MSIL2A_20241106T111149_N0511_R137_T29SQS_20241106T123759,L2A_T29SQS_A040060_20241106T111144,2024-11-06 11:22:02,29SQS,1.33E-4,1.33E-4,9.98E-4,12.906942,Sentinel-2B,05.11,137.0,50.3694247228162,165.394090222091,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241108T110251_20241108T110442_T29SQR,S2A_MSIL2A_20241108T110251_N0511_R094_T29SQR_20241108T151353,L2A_T29SQR_A048997_20241108T110442,2024-11-08 11:12:23,29SQR,37.473953,37.383583,1.004648,8.429604,Sentinel-2A,05.11,94.0,50.6471646463702,162.387983582378,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SPR,S2A_MSIL2A_20241111T111311_N0511_R137_T29SPR_20241111T151952,L2A_T29SPR_A049040_20241111T111444,2024-11-11 11:22:24,29SPR,1.49E-4,1.0E-4,0.0,0.0,Sentinel-2A,05.11,137.0,51.143696130714,164.30410019528,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SPS,S2A_MSIL2A_20241111T111311_N0511_R137_T29SPS_20241111T151952,L2A_T29SPS_A049040_20241111T111444,2024-11-11 11:22:09,29SPS,5.04E-4,4.67E-4,0.0,0.0,Sentinel-2A,05.11,137.0,52.0223901380958,164.444002876618,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SQR,S2A_MSIL2A_20241111T111311_N0511_R137_T29SQR_20241111T151952,L2A_T29SQR_A049040_20241111T111444,2024-11-11 11:22:20,29SQR,0.147595,0.148024,0.21038,34.245563,Sentinel-2A,05.11,137.0,50.8953987922752,165.548842368397,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SQS,S2A_MSIL2A_20241111T111311_N0511_R137_T29SQS_20241111T151952,L2A_T29SQS_A049040_20241111T111444,2024-11-11 11:22:06,29SQS,1.57E-4,1.57E-4,0.0,13.548917,Sentinel-2A,05.11,137.0,51.7755234442143,165.687471152965,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241113T110219_20241113T111146_T29SQR,S2B_MSIL2A_20241113T110219_N0511_R094_T29SQR_20241113T133656,L2A_T29SQR_A040160_20241113T111146,2024-11-13 11:12:22,29SQR,11.905249,11.929946,12.920073,8.458409,Sentinel-2B,05.11,94.0,52.0073606982917,162.684964273269,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241113T110219_20241113T111146_T29SQS,S2B_MSIL2A_20241113T110219_N0511_R094_T29SQS_20241113T133656,L2A_T29SQS_A040160_20241113T111146,2024-11-13 11:12:07,29SQS,13.940948,13.951528,4.104701,26.638645,Sentinel-2B,05.11,94.0,52.8767377865712,162.85053556835,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SPR,S2B_MSIL2A_20241116T111239_N0511_R137_T29SPR_20241116T142116,L2A_T29SPR_A040203_20241116T111851,2024-11-16 11:22:23,29SPR,2.573611,2.579379,2.144087,0.0,Sentinel-2B,05.11,137.0,52.4455443644984,164.467960972179,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SPS,S2B_MSIL2A_20241116T111239_N0511_R137_T29SPS_20241116T142116,L2A_T29SPS_A040203_20241116T111851,2024-11-16 11:22:08,29SPS,0.018484,0.004575,0.0,0.0,Sentinel-2B,05.11,137.0,53.3248138508517,164.598498018519,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SQR,S2B_MSIL2A_20241116T111239_N0511_R137_T29SQR_20241116T142116,L2A_T29SQR_A040203_20241116T111851,2024-11-16 11:22:19,29SQR,20.668505,20.728777,7.117179,34.343448,Sentinel-2B,05.11,137.0,52.1994611129762,165.681668065669,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SQS,S2B_MSIL2A_20241116T111239_N0511_R137_T29SQS_20241116T142116,L2A_T29SQS_A040203_20241116T111851,2024-11-16 11:22:04,29SQS,3.014407,3.014453,0.986277,13.604301,Sentinel-2B,05.11,137.0,53.080025530792,165.811610797306,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241118T110341_20241118T110445_T29SQS,S2A_MSIL2A_20241118T110341_N0511_R094_T29SQS_20241118T151707,L2A_T29SQS_A049140_20241118T110445,2024-11-18 11:12:11,29SQS,29.646653,29.685941,1.405838,25.930023,Sentinel-2A,05.11,94.0,54.1263244136075,163.01261308295,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241123T110309_20241123T110644_T29SQR,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQR_20250128T154202,L2A_T29SQR_A040303_20241123T110644,2024-11-23 11:12:27,29SQR,2.51E-4,2.12E-4,0.0,7.347281,Sentinel-2B,05.11,94.0,54.3898764229946,162.870132891073,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241123T110309_20241123T110644_T29SQS,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQS_20250128T154202,L2A_T29SQS_A040303_20241123T110644,2024-11-23 11:12:12,29SQS,0.00181,0.001813,9.0E-6,25.405586,Sentinel-2B,05.11,94.0,55.2599985166692,163.018450637736,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241126T111319_20241126T111320_T29SQR,S2B_MSIL2A_20241126T111319_N0511_R137_T29SQR_20241126T122745,L2A_T29SQR_A040346_20241126T111320,2024-11-26 11:22:23,29SQR,12.109172,12.098291,9.397493,35.588512,Sentinel-2B,05.11,137.0,54.4338979807271,165.568756134406,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241126T111319_20241126T111320_T29SQS,S2B_MSIL2A_20241126T111319_N0511_R137_T29SQS_20241126T122745,L2A_T29SQS_A040346_20241126T111320,2024-11-26 11:22:09,29SQS,23.304409,23.304655,0.163209,14.834672,Sentinel-2B,05.11,137.0,55.3140652175797,165.68836501373,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241128T110411_20241128T110443_T29SQR,S2A_MSIL2A_20241128T110411_N0511_R094_T29SQR_20241128T152055,L2A_T29SQR_A049283_20241128T110443,2024-11-28 11:12:24,29SQR,3.488275,3.495574,5.679255,8.451903,Sentinel-2A,05.11,94.0,55.3957940022798,162.730132626686,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241128T110411_20241128T110443_T29SQS,S2A_MSIL2A_20241128T110411_N0511_R094_T29SQS_20241128T152055,L2A_T29SQS_A049283_20241128T110443,2024-11-28 11:12:10,29SQS,0.376231,0.376727,0.0,26.641405,Sentinel-2A,05.11,94.0,56.2653289168513,162.873786748091,-1000.0
