Echantillon,Latitude,Longitude,N,P,K,B2_2024_11,B3_2024_11,B4_2024_11,B5_2024_11,B6_2024_11,B7_2024_11,B8_2024_11,B8A_2024_11,B11_2024_11,B12_2024_11,NDVI_2024_11,SAVI_2024_11,EVI_2024_11,GNDVI_2024_11,NDRE_2024_11,NDMI_2024_11,MNDWI_2024_11,BSI_2024_11,SI_2024_11,VSSI_2024_11,B2_2025_01,B3_2025_01,B4_2025_01,B5_2025_01,B6_2025_01,B7_2025_01,B8_2025_01,B8A_2025_01,B11_2025_01,B12_2025_01,NDVI_2025_01,SAVI_2025_01,EVI_2025_01,GNDVI_2025_01,NDRE_2025_01,NDMI_2025_01,MNDWI_2025_01,BSI_2025_01,SI_2025_01,VSSI_2025_01,x_m,y_m,block
1,32.33640833,-6.428755,644.91,6.21,16.68,0.04230000078678131,0.06665000319480896,0.1028999984264374,0.1169999986886978,0.1261499971151352,0.1365499943494797,0.1410000026226044,0.1485999971628189,0.2089499980211258,0.1915999948978424,0.15621157800772012,0.07682485040147602,0.06609305855122423,0.3580544039816545,0.11897589927979944,-0.1941705817384122,-0.5163279886871106,0.2596182829762655,0.04003481855475188,-1.086199998855591,0.02520000003278255,0.05025000125169754,0.02859999984502792,0.08139999955892563,0.307449996471405,0.405349999666214,0.4216000139713287,0.4083000123500824,0.1584500074386597,0.08609999716281891,0.8729453602675055,0.6203957194462667,0.6996866730970105,0.7870085831344076,0.6675515707039579,0.45366778099470606,-0.5184475379157657,-0.40979726684064766,0.013642545190917234,-2.1505000665783878,403021.61578751163,193938.34469488286,10
2,32.35087667,-6.43830167,1267.11,22.11,40.53,0.06859999895095825,0.09679999947547913,0.1309999972581863,0.1544000059366226,0.1750999987125397,0.1946000009775162,0.210999995470047,0.221000000834465,0.3235999941825867,0.2869000136852264,0.23391812771620057,0.14251781277214645,0.13490724944262628,0.3710201348241043,0.17741074459021836,-0.21062476745478226,-0.5394861978806074,0.23835467195767407,0.09284084275952331,-1.5163999646902084,0.03375000134110451,0.0601000003516674,0.03730000182986259,0.0925000011920929,0.3591000139713287,0.485799998044968,0.4916000068187714,0.4975999891757965,0.2027000039815903,0.1036500036716461,0.8589525367766879,0.6623092640249713,0.776700693413257,0.7821279682377658,0.686493804286721,0.41610254634454924,-0.542617963226794,-0.37283595318034024,0.021009856156934514,-2.524300042539835,402139.03795063845,195551.2324684111,10
3,32.35795,-6.42322,1008.65,10.44,16.11,0.0397999994456768,0.0575999990105629,0.09099999815225601,0.1128999963402748,0.1324000060558319,0.1486999988555908,0.1509999930858612,0.1695999950170517,0.2594999969005585,0.2241999953985214,0.24793387131421007,0.12129379172933932,0.10725776819363707,0.4477468704043759,0.2007079653476897,-0.2643118299563781,-0.6367076627458476,0.2950304930523566,0.05817989811102154,-1.0947999581694603,0.03480000048875809,0.06219999864697456,0.05119999870657921,0.1171000003814697,0.2540999948978424,0.302300006151199,0.365200012922287,0.3188000023365021,0.2369000017642975,0.1703000068664551,0.7540826241414486,0.5139677164411828,0.5561853724721365,0.7089377757709127,0.4627208080629719,0.21308753996906457,-0.584085597770041,-0.16262172724901114,0.040344071927123096,-1.9576000608503819,403565.99014929443,196321.3766109861,10
4,32.39102833,-6.42519667,971.28,9.43,14.57,0.05719999969005585,0.06809999793767929,0.09780000150203705,0.1167000010609627,0.130500003695488,0.1405999958515167,0.1506000012159348,0.1650000065565109,0.2518999874591827,0.2153999954462051,0.2125603821401137,0.1058257606670433,0.10088657751325406,0.3772290956575574,0.17145901319845464,-0.25167699091126267,-0.5743749916712677,0.25452913072608085,0.05425925615160707,-1.1058000177145006,0.04309999942779541,0.07660000026226044,0.07199999690055847,0.1228000000119209,0.2073000073432922,0.223199993371964,0.2802000045776367,0.2443999946117401,0.2205999940633774,0.1617999970912933,0.5911414145715912,0.366463284409661,0.3747435277281436,0.5706278054455397,0.3311546733362318,0.11900960574477254,-0.48452219403078456,-0.04984577568177668,0.03569307839779379,-1.607800006866455,403416.0172125292,199990.32094644173,10
5,32.4102,-6.44531167,1137.82,18.44,26.02,0.04385000094771385,0.06615000218153,0.1080000028014183,0.1272999942302704,0.1411499977111816,0.1563500016927719,0.1712000072002411,0.1775500029325485,0.2825999855995178,0.2508000135421753,0.22636103835413945,0.12166325125949663,0.10601715008825056,0.44259532514762057,0.16483519437464386,-0.24548254720433604,-0.6206451337088914,0.28985384456937924,0.07087608021537761,-1.263700045645237,0.03429999947547913,0.05579999834299088,0.04230000078678131,0.09520000219345093,0.2651999890804291,0.333700001239777,0.3483999967575073,0.3425000011920929,0.2049999982118607,0.1270000040531158,0.7834655672158324,0.5154934267677019,0.5689802497099788,0.7238990629326129,0.5649988497162777,0.2591254058368012,-0.5720858944313832,-0.21492063181626228,0.02603500060379504,-1.8418999910354614,401545.24085464614,202134.4843992437,10
6,32.41094833,-6.472865,1073.92,12.01,21.42,0.04095000028610229,0.06350000202655792,0.1017000004649162,0.1234999969601631,0.1429499983787537,0.1605000048875809,0.1509999930858612,0.1745000034570694,0.2482499927282333,0.2179500013589859,0.1950929706531461,0.09824629940883454,0.084761777820163,0.40792537363704506,0.17114096058509987,-0.24358172286591775,-0.5926222717481335,0.29156671608559726,0.05410608625248669,-1.1364999637007713,0.02899999916553497,0.04740000143647194,0.03819999843835831,0.07850000262260437,0.261000007390976,0.329199999570847,0.3300000131130219,0.3468999862670898,0.1762000024318695,0.1062000021338463,0.7925040867127742,0.504146528666675,0.5437132229623794,0.748807631247934,0.6309355665807168,0.3038324884517521,-0.5760286144503292,-0.2521799927455331,0.018712440634248265,-1.7462000548839571,398954.92644050554,202243.7429603434,10
8,32.39708333,-6.421465,1016.43,9.22,23.02,0.04830000177025795,0.0689999982714653,0.1036000028252602,0.1272000074386597,0.1394000053405762,0.1519999951124191,0.1609999984502792,0.1738000065088272,0.2527999877929688,0.2004999965429306,0.21693119853130577,0.1126078907845837,0.10103142806200249,0.40000000473963526,0.1548172649702275,-0.22184628364603098,-0.5711622029515532,0.2600318057625459,0.05068639667854315,-1.1850000098347664,0.02659999951720238,0.0544000007212162,0.03040000051259995,0.08489999920129776,0.3016000092029572,0.384799987077713,0.4040000140666962,0.4027999937534332,0.1639000028371811,0.08739999681711197,0.8600368327700915,0.5997431630857355,0.673444386691418,0.7626527079074734,0.6518351414653563,0.4227857081528644,-0.501603297432239,-0.3781405080055479,0.01432485972629427,-2.0632000714540486,403773.5984994312,200658.14483342413,10
13,32.38977167,-6.53816667,1141.07,11.09,21.32,0.04365000128746033,0.06509999930858612,0.09769999980926514,0.1146000027656555,0.1329499930143356,0.1490499973297119,0.1598999947309494,0.1695999950170517,0.2416500002145767,0.2080499976873398,0.24145961179558356,0.12315204996688249,0.1096054478954736,0.42133332227721004,0.1935256597008219,-0.2035861195593622,-0.5755501242213011,0.25013815572900694,0.050275281985788345,-1.1577999740839005,0.02910000085830688,0.05070000141859055,0.04540000110864639,0.08540000021457672,0.242249995470047,0.295049995183945,0.2962999939918518,0.3085500001907349,0.145249992609024,0.0864500030875206,0.734269814885841,0.4471307966205611,0.46447479351251914,0.7077809657460571,0.5664424398531033,0.3420903762302092,-0.4825210185747075,-0.2611181161835425,0.012556862309512468,-1.60709997266531,392788.3083449576,199961.15512128003,9
14,32.38247333,-6.52784833,1343.88,25.72,40.95,0.06060000136494637,0.0940999984741211,0.1445000022649765,0.1745499968528748,0.1823000013828278,0.1967999935150146,0.2019000053405762,0.2254499942064285,0.3466500043869019,0.3249000012874603,0.16570439275294982,0.10172495727755793,0.08888751667261524,0.36418920646281866,0.1272499959100183,-0.2638774883157155,-0.5730005756106917,0.3033901619988876,0.11262658687160255,-1.5438000410795212,0.06679999828338623,0.09520000219345093,0.1438000053167343,0.1757999956607819,0.191200003027916,0.200800001621246,0.2106000036001205,0.2348999977111816,0.3300999999046326,0.3010999858379364,0.1884875745321171,0.1172752766612274,0.10620706599509346,0.37737082682463663,0.14390066437856808,-0.22100979343243496,-0.5523160028216801,0.26154665409032024,0.09939310529638769,-1.581600040197372,393750.1364431278,199141.5203031674,9
16,32.38646667,-6.549175,1544.06,21.88,27.19,0.05559999868273735,0.08730000257492065,0.1336999982595444,0.1644999980926514,0.1785999983549118,0.1951999962329865,0.2008000016212463,0.2159499973058701,0.2989000082015991,0.2707499861717224,0.20059791684609005,0.12061115045767626,0.10576923599770036,0.39396041999042525,0.1352345898285272,-0.19631779959102583,-0.5479026389805598,0.25573295235320886,0.08092717308731068,-1.4978999942541122,0.03714999929070473,0.05810000002384186,0.07429999858140945,0.09870000183582306,0.2002499997615814,0.253899991512299,0.2517000138759613,0.2516500055789948,0.2065999954938889,0.1572999954223633,0.5441718035933439,0.3221549865963967,0.31257160419122415,0.6249193174336495,0.4365634367620092,0.09840719476675654,-0.5610124572105911,-0.013953521678566456,0.032498178345449005,-1.51380006223917,391748.7992329317,199606.11100312398,9
