variable,type,acquisition,formula,source_bands,wavelength_nm,unit,native_res_m,output_res_m,resampling,reference
B2_2024_11,Reflectance band,12 November 2024,Surface reflectance,B2,490,reflectance (0-1),10,10,none,Drusch et al. (2012)
B3_2024_11,Reflectance band,12 November 2024,Surface reflectance,B3,560,reflectance (0-1),10,10,none,Drusch et al. (2012)
B4_2024_11,Reflectance band,12 November 2024,Surface reflectance,B4,665,reflectance (0-1),10,10,none,Drusch et al. (2012)
B5_2024_11,Reflectance band,12 November 2024,Surface reflectance,B5,705,reflectance (0-1),20,10,bilinear,Drusch et al. (2012)
B6_2024_11,Reflectance band,12 November 2024,Surface reflectance,B6,740,reflectance (0-1),20,10,bilinear,Drusch et al. (2012)
B7_2024_11,Reflectance band,12 November 2024,Surface reflectance,B7,783,reflectance (0-1),20,10,bilinear,Drusch et al. (2012)
B8_2024_11,Reflectance band,12 November 2024,Surface reflectance,B8,842,reflectance (0-1),10,10,none,Drusch et al. (2012)
B8A_2024_11,Reflectance band,12 November 2024,Surface reflectance,B8A,865,reflectance (0-1),20,10,bilinear,Drusch et al. (2012)
B11_2024_11,Reflectance band,12 November 2024,Surface reflectance,B11,1610,reflectance (0-1),20,10,bilinear,Drusch et al. (2012)
B12_2024_11,Reflectance band,12 November 2024,Surface reflectance,B12,2190,reflectance (0-1),20,10,bilinear,Drusch et al. (2012)
NDVI_2024_11,Spectral index,12 November 2024,(B8 - B4)/(B8 + B4),"B4, B8",,dimensionless,10,10,none,Rouse et al. (1974)
SAVI_2024_11,Spectral index,12 November 2024,1.5 x (B8 - B4)/(B8 + B4 + 0.5),"B4, B8",,dimensionless,10,10,none,Huete (1988)
EVI_2024_11,Spectral index,12 November 2024,2.5 x (B8 - B4)/(B8 + 6B4 - 7.5B2 + 1),"B2, B4, B8",,dimensionless,10,10,none,Huete et al. (2002)
GNDVI_2024_11,Spectral index,12 November 2024,(B8 - B3)/(B8 + B3),"B3, B8",,dimensionless,10,10,none,Gitelson et al. (1996)
NDRE_2024_11,Spectral index,12 November 2024,(B8A - B5)/(B8A + B5),"B5, B8A",,dimensionless,20,10,bilinear,Gitelson and Merzlyak (1994)
NDMI_2024_11,Spectral index,12 November 2024,(B8 - B11)/(B8 + B11),"B8, B11",,dimensionless,20,10,bilinear,Gao (1996)
