Echantillon,Latitude,Longitude,N,P,K,block,B2_2024_11,B3_2024_11,B4_2024_11,B5_2024_11,B6_2024_11,B7_2024_11,B8_2024_11,B8A_2024_11,B11_2024_11,B12_2024_11,NDVI_2024_11,SAVI_2024_11,EVI_2024_11,GNDVI_2024_11,NDRE_2024_11,NDMI_2024_11,MNDWI_2024_11,BSI_2024_11,SI_2024_11,VSSI_2024_11,B2_2025_01,B3_2025_01,B4_2025_01,B5_2025_01,B6_2025_01,B7_2025_01,B8_2025_01,B8A_2025_01,B11_2025_01,B12_2025_01,NDVI_2025_01,SAVI_2025_01,EVI_2025_01,GNDVI_2025_01,NDRE_2025_01,NDMI_2025_01,MNDWI_2025_01,BSI_2025_01,SI_2025_01,VSSI_2025_01
1,32.33640833,-6.428755,644.91,6.21,16.68,10,0.042561110109090805,0.06647222489118576,0.10206111520528793,0.11656667292118073,0.1262444406747818,0.13658888638019562,0.14118890464305878,0.1497611105442047,0.21235555410385132,0.19353333115577698,0.16085420795159938,0.07896627324494625,0.06819790132871152,0.35980098711613145,0.12463753149021617,-0.20129476646795202,-0.5232022763845918,0.26229504797357917,0.04109787777514917,-1.083305649459362,0.02636111155152321,0.05098889395594597,0.029688887298107147,0.08451111614704132,0.30284440517425537,0.3970166742801666,0.41780000925064087,0.4026888906955719,0.16286666691303253,0.09473888576030731,0.867308941246423,0.6144311400897227,0.6939353876361224,0.7824654380749759,0.6530742393816131,0.4390355988445156,-0.5231464263979723,-0.3951609500263305,0.015429806550835812,-2.135466694831848
2,32.35087667,-6.43830167,1267.11,22.11,40.53,10,0.07061111181974411,0.09898889064788818,0.1340666562318802,0.16528888046741486,0.18881110846996307,0.20847779512405396,0.21764445304870605,0.23453333973884583,0.33321109414100647,0.3009333610534668,0.23763194955698044,0.14719391805413004,0.1399999630082124,0.37474120899842844,0.17318812111673268,-0.20979482093280055,-0.5419301508434631,0.23694810229553423,0.10027433450015621,-1.5605777651071548,0.03457777574658394,0.0603611059486866,0.038261108100414276,0.09536111354827881,0.35753333568573,0.48197221755981445,0.4987555742263794,0.4952666461467743,0.20694443583488464,0.11347222328186035,0.8575049536137743,0.6660854265517738,0.7836928935327208,0.7840840437032612,0.6770855676134916,0.41350592860648505,-0.5483737013447636,-0.3700878760483963,0.023482445229994653,-2.564361199736595
3,32.35795,-6.42322,1008.65,10.44,16.11,10,0.03919999673962593,0.05797777697443962,0.08905556052923203,0.10737777501344681,0.14053334295749664,0.15471111238002777,0.15235555171966553,0.1761000007390976,0.24834445118904114,0.2110888957977295,0.26220827342430797,0.12806658170747082,0.11362909082209374,0.4487057514017521,0.2424254434083569,-0.23955302853265056,-0.6214588955377605,0.27572158034278293,0.05242275597898782,-1.0911000072956085,0.034744445234537125,0.06372222304344177,0.047066666185855865,0.11433333903551102,0.30381110310554504,0.35375556349754333,0.3914666473865509,0.37308889627456665,0.22224442660808563,0.15293332934379578,0.7853450804222326,0.5504332817283502,0.6092196446443594,0.7200185349731594,0.5308653113528579,0.27573597360931473,-0.554338078246108,-0.2255859020628304,0.03398858008927741,-2.0652221217751503
4,32.39102833,-6.42519667,971.28,9.43,14.57,10,0.05459999665617943,0.07206666469573975,0.10067778080701828,0.12193334102630615,0.13624998927116394,0.14703331887722015,0.15488888323307037,0.16703888773918152,0.2503722310066223,0.2157333344221115,0.21212117948774123,0.10762340043467516,0.10043143083233005,0.36492704817413274,0.1560895548665015,-0.23560944828639202,-0.5529902506628207,0.25254470968426496,0.05401363624176181,-1.1336999908089638,0.047744445502758026,0.07723333686590195,0.0778111144900322,0.12474445253610611,0.2164222151041031,0.23409999907016754,0.2589110732078552,0.2509666681289673,0.21711111068725586,0.16368888318538666,0.5378319718642267,0.3246596565392124,0.33103147204927963,0.5404752551488632,0.335955494299638,0.08781095471382233,-0.47521797849057223,-0.019504201465284577,0.03553867523553578,-1.5291442647576332
5,32.4102,-6.44531167,1137.82,18.44,26.02,10,0.04534444212913513,0.06778333336114883,0.10927777737379074,0.136211097240448,0.15026667714118958,0.16460555791854858,0.17222221195697784,0.18543888628482819,0.2864833474159241,0.25573888421058655,0.223603682931662,0.12081465535992345,0.10576723912331222,0.4351519379364491,0.15304769598243748,-0.24909472509131636,-0.6173315903085551,0.2905370937864228,0.07326493161306225,-1.2719332799315453,0.0355222225189209,0.0574222207069397,0.047744445502758026,0.1062222272157669,0.2641444504261017,0.3196333348751068,0.34031111001968384,0.3320000171661377,0.2156333327293396,0.14347776770591736,0.7539298422595998,0.4941695303254016,0.5376636054114056,0.7112526578667132,0.5152129822930567,0.22426301529263779,-0.5794099751936023,-0.17592865993050374,0.030938589222992974,-1.82543333619833
6,32.41094833,-6.472865,1073.92,12.01,21.42,10,0.043477777391672134,0.06586666405200958,0.10162778198719025,0.1269499957561493,0.1434166580438614,0.15940001606941223,0.16098888218402863,0.17578332126140594,0.2488444596529007,0.21743334829807281,0.2260370649293584,0.11675807057274896,0.10272416538933174,0.4193074372258857,0.1613080642231287,-0.2143690331799806,-0.5814150858901499,0.26310208471853525,0.054107084067754885,-1.1813499927520752,0.02943333238363266,0.04839999973773956,0.038644447922706604,0.08727777749300003,0.2505222260951996,0.32054445147514343,0.3411555588245392,0.3328889012336731,0.18465556204319,0.11745554953813553,0.79650106564282,0.5157611535266897,0.5592644345887929,0.7515116955736744,0.5845564048544926,0.297635387067217,-0.5846484017784618,-0.24800746520618594,0.021688820515056162,-1.8022000342607498
8,32.39708333,-6.421465,1016.43,9.22,23.02,10,0.04924444481730461,0.07028888911008835,0.10222222656011581,0.12862221896648407,0.13855555653572083,0.15362222492694855,0.1632888913154602,0.17466667294502258,0.25645557045936584,0.2045888900756836,0.22999663823480584,0.119658611082256,0.10848281423262116,0.39815431775138693,0.15181714548304714,-0.22196047215966574,-0.5697623183108412,0.2558501614356918,0.05246796051400793,-1.1869778111577034,0.026911111548542976,0.05367777869105339,0.030833333730697632,0.086366668343544,0.29821112751960754,0.3758222162723541,0.3976888656616211,0.39144447445869446,0.16635555028915405,0.09135555475950241,0.8560945771189019,0.5926442019981041,0.6641815953594921,0.762154427032984,0.638490353505483,0.41013315338365597,-0.5120941068711559,-0.3657368393102338,0.01519750358398797,-2.035255439579487
13,32.38977167,-6.53816667,1141.07,11.09,21.32,9,0.043877776712179184,0.06488333642482758,0.09594999998807907,0.11799999326467514,0.13502222299575806,0.14977777004241943,0.15878887474536896,0.16908890008926392,0.24303333461284637,0.2070111185312271,0.2466795638332125,0.12488864068281118,0.11178067922660358,0.41983551469990754,0.1779550091603458,-0.2096560560760825,-0.5785656132520877,0.25166931856431723,0.05031060243857932,-1.143927700817585,0.028149999678134918,0.0503888875246048,0.04173889011144638,0.08401666581630707,0.23927222192287445,0.28868889808654785,0.30410000681877136,0.3013666868209839,0.13671112060546875,0.08239444345235825,0.7586223477969309,0.4652678855149114,0.48823784057649655,0.7157096389392082,0.5639839369119167,0.3797292659367851,-0.46136947551323737,-0.3011552580669729,0.011264236696035823,-1.6284167096018791
14,32.38247333,-6.52784833,1343.88,25.72,40.95,9,0.061077781021595,0.09164999425411224,0.14356666803359985,0.1786055564880371,0.1958777755498886,0.21408887207508087,0.2088666558265686,0.2381499856710434,0.342588871717453,0.3177666664123535,0.18528323852143433,0.11490632633400036,0.10126017856516613,0.39005047191540393,0.1428761540438047,-0.24248957344564845,-0.5778821209934961,0.28595570600254083,0.10886332371562446,-1.5788666307926178,0.06461111456155777,0.09404443949460983,0.14426666498184204,0.17944443225860596,0.20265555381774902,0.21647778153419495,0.21988888084888458,0.2422444224357605,0.3264888823032379,0.29580000042915344,0.20766459971621584,0.13126493760046234,0.11809287825308971,0.4008636000017989,0.14892494627050565,-0.19510311079327483,-0.552737274806556,0.24661262460024477,0.0965754115254116,-1.6326888501644135
16,32.38646667,-6.549175,1544.06,21.88,27.19,9,0.0560888908803463,0.08543333411216736,0.13376666605472565,0.15617777407169342,0.18105000257492065,0.19717778265476227,0.19979999959468842,0.21871110796928406,0.2847944498062134,0.2571500241756439,0.19796142763079277,0.11882672903285595,0.10436862671810838,0.40095827368866144,0.1668049833602438,-0.1753929500042966,-0.538482317684494,0.24119241399143465,0.07323489965275698,-1.4969666600227356,0.03883333131670952,0.059227779507637024,0.07604999840259552,0.10676111280918121,0.1921388953924179,0.2341555505990982,0.24745556712150574,0.2433444708585739,0.21034443378448486,0.16368333995342255,0.529838081491375,0.3122120406250498,0.3033714911225265,0.613752879212351,0.39012047802381733,0.08106407423004261,-0.56057948952072,0.00018427941418448315,0.034429879462456014,-1.4990722686052322
17,32.37388167,-6.544635,1366.74,12.16,31.85,9,0.06055555120110512,0.09111110866069794,0.13963334262371063,0.16312222182750702,0.1803777813911438,0.19717778265476227,0.20134443044662476,0.21383333206176758,0.31317222118377686,0.2890166640281677,0.18098272824722186,0.1100702476314191,0.09733746080112805,0.37692334959862406,0.13452808846166556,-0.21734532821327862,-0.549271007684718,0.26711081662456293,0.09051199063282667,-1.522666648030281,0.05106111243367195,0.07742777466773987,0.1073666661977768,0.1411166787147522,0.21347223222255707,0.24149997532367706,0.25839999318122864,0.26027774810791016,0.2727999985218048,0.22923888266086578,0.41292261800720687,0.26167557738672553,0.24846865586724,0.5388840212164743,0.2968677717813357,-0.027108444161117438,-0.5578433186978732,0.10252713426528688,0.06253636685102437,-1.6739777475595474
18,32.36159667,-6.55020667,1555.76,31.5,74.64,9,0.07214999943971634,0.1044388860464096,0.1694222241640091,0.19030000269412994,0.19881665706634521,0.21480554342269897,0.22743333876132965,0.2346833348274231,0.35414445400238037,0.34078890085220337,0.1461768962579905,0.09702417590202847,0.08516809725753656,0.37060785190916634,0.10443546395888235,-0.21787474796971418,-0.5445151308481654,0.272105126938681,0.1206884992223749,-1.7754000425338745,0.06904444098472595,0.10092221945524216,0.1629333347082138,0.18078888952732086,0.19502222537994385,0.20816665887832642,0.2264222353696823,0.22913333773612976,0.34139999747276306,0.32988888025283813,0.1630614928295623,0.10708130043404523,0.09413076331067197,0.38338824342747396,0.1179356591946965,-0.20248901020488014,-0.5436710349844157,0.2611486038214755,0.11262406288461158,-1.7449334114789963
19,32.35679167,-6.56558833,1366.48,15.26,32.82,9,0.07535555213689804,0.10639999061822891,0.16308888792991638,0.17136666178703308,0.1885555535554886,0.19601112604141235,0.22153332829475403,0.2149333357810974,0.2956555187702179,0.2758333384990692,0.15195284553907695,0.09910067703408376,0.08937005296053015,0.3510876470468927,0.11277937912386664,-0.14331745696525974,-0.470719896287802,0.21419851244067184,0.08155164878806342,-1.7103110998868942,0.07442221790552139,0.10562222450971603,0.16431111097335815,0.16348889470100403,0.17755556106567383,0.19108889997005463,0.22773334383964539,0.21031111478805542,0.27283331751823425,0.2621666491031647,0.16177306406429126,0.10664642192005257,0.09577889664603331,0.3663089222365898,0.1252600823252834,-0.09009783725138429,-0.4418249278916469,0.18259011003179593,0.07152779661745523,-1.7489778250455856
20,32.33829667,-6.579595,929.47,1.14,26.47,7,0.05406666547060013,0.07660000026226044,0.11703332513570786,0.13537222146987915,0.14923332631587982,0.1628388911485672,0.16838888823986053,0.18005555868148804,0.265155553817749,0.25131112337112427,0.17992840261752455,0.09807889736802451,0.08763216506185935,0.37466551305301315,0.1416594855675261,-0.22319895255820427,-0.5517263750441312,0.2641772856074643,0.0666365400980311,-1.273911066353321,0.05415000021457672,0.07293333113193512,0.11252222955226898,0.12362221628427505,0.143344447016716,0.15552222728729248,0.1639999896287918,0.17483332753181458,0.23998335003852844,0.23093335330486298,0.18616138711318134,0.09943906073443563,0.08980715207576201,0.38435563989105187,0.17158706593672488,-0.18808538066006247,-0.5338482363672501,0.23544077497606575,0.05542015976173209,-1.2367444336414337
